,freq,lbd,S,aux,idl
283,176925782311367.47,1.6944532e-06,-55.1996803,,
284,176927828862694.9,1.6944336e-06,-54.0512852,,
285,176929875461368.94,1.694414e-06,-56.1052201,,
286,176931922107391.28,1.6943944e-06,-53.9208038,,
287,176933968800763.56,1.6943748e-06,-55.1043844,,
288,176936015541487.4,1.6943552e-06,-55.6687817,,
289,176938062329564.47,1.6943356e-06,-54.5035825,,
290,176940109164996.38,1.694316e-06,-57.0670594,,
291,176942156047784.78,1.6942964e-06,-54.1809723,,
292,176944202977931.34,1.6942768e-06,-55.8539783,,
293,176946249955437.7,1.6942572e-06,-54.7610447,,
294,176948296980305.47,1.6942376e-06,-55.7958968,,
295,176950344052536.3,1.694218e-06,-57.3077028,,
296,176952391172131.9,1.6941984e-06,-55.6201873,,
297,176954438339093.84,1.6941788e-06,-55.0645236,,
298,176956485553423.78,1.6941592e-06,-55.084748,,
299,176958532815123.38,1.6941396e-06,-54.7165655,,
300,176960580124194.28,1.69412e-06,-55.4331095,,
301,176962627480638.1,1.6941004e-06,-54.4549615,,
302,176964674884456.5,1.6940808e-06,-55.6332053,,
303,176966722335651.16,1.6940612e-06,-54.6321028,,
304,176968769834223.7,1.6940416e-06,-55.906908,,
305,176970817380175.7,1.694022e-06,-55.9816228,,
306,176972864973508.88,1.6940024e-06,-56.2448197,,
307,176974912614224.88,1.6939828e-06,-55.893032,,
308,176976960302325.34,1.6939632e-06,-55.6984402,,
309,176979008037811.88,1.6939436e-06,-56.3907668,,
310,176981055820686.16,1.693924e-06,-55.7491511,,
311,176983103650949.84,1.6939044e-06,-56.9497364,,
312,176985151528604.56,1.6938848e-06,-55.1328286,,
313,176987199453651.94,1.6938652e-06,-57.128563,,
314,176989247426093.62,1.6938456e-06,-55.2148076,,
315,176991295445931.28,1.693826e-06,-57.4410912,,
316,176993343513166.56,1.6938064e-06,-54.1626932,,
317,176995391627801.1,1.6937868e-06,-54.5407787,,
318,176997439789836.53,1.6937672e-06,-54.9716715,,
319,176999487999274.5,1.6937476e-06,-55.0966664,,
320,177001536256116.7,1.693728e-06,-57.0312518,,
321,177003584560364.72,1.6937084e-06,-54.347426,,
322,177005632912020.2,1.6936888e-06,-55.9365471,,
323,177007681311084.8,1.6936692e-06,-55.4218601,,
324,177009729757560.25,1.6936496e-06,-53.082182,,
325,177011778251448.06,1.69363e-06,-55.3124026,,
326,177013826792749.97,1.6936104e-06,-54.7085714,,
327,177015875381467.6,1.6935908e-06,-57.4111769,,
328,177017924017602.56,1.6935712e-06,-55.5918994,,
329,177019972701156.56,1.6935516e-06,-54.5524242,,
330,177022021432131.2,1.693532e-06,-55.4268412,,
331,177024070210528.12,1.6935124e-06,-54.4065595,,
332,177026119036349.0,1.6934928e-06,-53.9774001,,
333,177028167909595.5,1.6934732e-06,-55.9556961,,
334,177030216830269.22,1.6934536e-06,-56.6677645,,
335,177032265798371.8,1.693434e-06,-55.9149857,,
336,177034314813904.97,1.6934144e-06,-56.962339,,
337,177036363876870.3,1.6933948e-06,-57.1662101,,
338,177038412987269.44,1.6933752e-06,-56.2502091,,
339,177040462145104.06,1.6933556e-06,-56.0014169,,
340,177042511350375.8,1.693336e-06,-54.8450223,,
341,177044560603086.34,1.6933164e-06,-57.6951674,,
342,177046609903237.28,1.6932968e-06,-55.5403808,,
343,177048659250830.28,1.6932772e-06,-57.278209,,
344,177050708645867.0,1.6932576e-06,-53.3096998,,
345,177052758088349.06,1.693238e-06,-56.1035467,,
346,177054807578278.16,1.6932184e-06,-56.6851089,,
