freq,lbd,S,aux,idl,mu
389993206818678.56,7.68712e-07,-75.0,,,104.91639678794631
389995236162496.06,7.68708e-07,-75.0,,,104.91843174208505
389997265527433.2,7.68704e-07,-75.0,,,104.9204667174018
389999294913490.3,7.687e-07,-75.0,,,104.92250171389693
390001324320667.7,7.68696e-07,-75.0,,,104.92453673157071
390003353748965.75,7.68692e-07,-75.0,,,104.92657177042356
390005383198384.75,7.68688e-07,-75.0,,,104.92860683045575
390007412668925.06,7.68684e-07,-75.0,,,104.93064191166764
390009442160586.94,7.6868e-07,-75.0,,,104.93267701405946
390011471673370.8,7.68676e-07,-75.0,,,104.9347121376317
390013501207276.94,7.68672e-07,-75.0,,,104.93674728238459
390015530762305.7,7.68668e-07,-75.0,,,104.93878244831849
390017560338457.4,7.68664e-07,-74.5873336,,,104.94081763543372
390019589935732.3,7.6866e-07,-75.0,,,104.9428528437306
390021619554130.9,7.68656e-07,-75.0,,,104.94488807320951
390023649193653.3,7.68652e-07,-75.0,,,104.94692332387069
390025678854300.0,7.68648e-07,-75.0,,,104.94895859571452
390027708536071.3,7.68644e-07,-75.0,,,104.95099388874137
390029738238967.5,7.6864e-07,-75.0,,,104.9530292029515
390031767962989.0,7.68636e-07,-75.0,,,104.95506453834535
390033797708136.0,7.68632e-07,-75.0,,,104.9570998949231
390035827474408.94,7.68628e-07,-75.0,,,104.95913527268519
390037857261808.1,7.68624e-07,-75.0,,,104.96117067163195
390039887070333.9,7.6862e-07,-75.0,,,104.96320609176367
390041916899986.5,7.68616e-07,-75.0,,,104.96524153308066
390043946750766.3,7.68612e-07,-75.0,,,104.96727699558326
390045976622673.7,7.68608e-07,-75.0,,,104.96931247927182
390048006515709.0,7.68604e-07,-75.0,,,104.97134798414673
390050036429872.5,7.686e-07,-74.5652121,,,104.97338351020825
390052066365164.5,7.68596e-07,-75.0,,,104.97541905745668
390054096321585.44,7.68592e-07,-72.7773109,,,104.97745462589245
390056126299135.5,7.68588e-07,-75.0,,,104.97949021551577
390058156297815.2,7.68584e-07,-75.0,,,104.98152582632713
390060186317624.7,7.6858e-07,-75.0,,,104.9835614583267
390062216358564.4,7.68576e-07,-75.0,,,104.98559711151489
390064246420634.6,7.68572e-07,-75.0,,,104.98763278589206
390066276503835.7,7.68568e-07,-72.0849127,,,104.98966848145845
390068306608167.94,7.68564e-07,-73.8634407,,,104.99170419821446
390070336733631.75,7.6856e-07,-75.0,,,104.99373993616045
390072366880227.3,7.68556e-07,-75.0,,,104.9957756952966
390074397047955.1,7.68552e-07,-75.0,,,104.99781147562344
390076427236815.44,7.68548e-07,-75.0,,,104.99984727714119
390078457446808.5,7.68544e-07,-75.0,,,105.00188309985012
390080487677934.8,7.6854e-07,-71.1732148,,,105.00391894375072
390082517930194.56,7.68536e-07,-69.4240313,,,105.00595480884319
390084548203588.2,7.68532e-07,-68.5441924,,,105.00799069512794
390086578498115.9,7.68528e-07,-69.7829277,,,105.0100266026052
390088608813778.1,7.68524e-07,-73.6844911,,,105.01206253127545
390090639150575.2,7.6852e-07,-75.0,,,105.01409848113893
390092669508507.25,7.68516e-07,-70.3533963,,,105.01613445219586
390094699887574.94,7.68512e-07,-71.6014688,,,105.01817044444682
390096730287778.4,7.68508e-07,-74.1299305,,,105.02020645789199
390098760709117.94,7.68504e-07,-75.0,,,105.0222424925317
390100791151594.0,7.685e-07,-75.0,,,105.02427854836635
390102821615206.8,7.68496e-07,-75.0,,,105.02631462539618
390104852099956.8,7.68492e-07,-74.2730036,,,105.02835072362164
390106882605844.2,7.68488e-07,-75.0,,,105.0303868430429
390108913132869.4,7.68484e-07,-75.0,,,105.03242298366042
390110943681032.7,7.6848e-07,-75.0,,,105.0344591454745
390112974250334.4,7.68476e-07,-75.0,,,105.0364953284854
390115004840774.94,7.68472e-07,-75.0,,,105.03853153269361
390117035452354.56,7.68468e-07,-75.0,,,105.04056775809933
390119066085073.6,7.68464e-07,-75.0,,,105.04260400470292
390121096738932.5,7.6846e-07,-75.0,,,105.04464027250476
390123127413931.3,7.68456e-07,-75.0,,,105.046676561505
390125158110070.6,7.68452e-07,-75.0,,,105.04871287170418
390127188827350.75,7.68448e-07,-75.0,,,105.05074920310261
390129219565771.9,7.68444e-07,-75.0,,,105.0527855557005
390131250325334.4,7.6844e-07,-75.0,,,105.05482192949819
390133281106038.75,7.68436e-07,-75.0,,,105.05685832449622
390135311907885.2,7.68432e-07,-73.7528682,,,105.05889474069475
390137342730873.94,7.68428e-07,-72.0383399,,,105.06093117809407
390139373575005.44,7.68424e-07,-72.1881525,,,105.06296763669457
390141404440280.0,7.6842e-07,-70.6660009,,,105.06500411649658
390143435326698.0,7.68416e-07,-73.233391,,,105.06704061750048
390145466234259.75,7.68412e-07,-69.7540736,,,105.0690771397066
390147497162965.5,7.68408e-07,-75.0,,,105.07111368311516
390149528112815.6,7.68404e-07,-75.0,,,105.07315024772656
390151559083810.5,7.684e-07,-75.0,,,105.07518683354117
390153590075950.4,7.68396e-07,-75.0,,,105.07722344055922
390155621089235.7,7.68392e-07,-75.0,,,105.07926006878118
390157652123666.7,7.68388e-07,-75.0,,,105.08129671820728
390159683179243.7,7.68384e-07,-71.3159517,,,105.08333338883784
390161714255967.1,7.6838e-07,-71.3692031,,,105.08537008067331
390163745353837.2,7.68376e-07,-70.2427342,,,105.08740679371387
390165776472854.3,7.68372e-07,-69.5231238,,,105.08944352795993
390167807613018.75,7.68368e-07,-71.7197926,,,105.09148028341178
390169838774330.94,7.68364e-07,-75.0,,,105.09351706006986
390171869956791.1,7.6836e-07,-75.0,,,105.09555385793439
390173901160399.6,7.68356e-07,-75.0,,,105.0975906770057
390175932385156.8,7.68352e-07,-75.0,,,105.09962751728416
390177963631063.0,7.68348e-07,-75.0,,,105.1016643787701
390179994898118.56,7.68344e-07,-72.1339855,,,105.10370126146388
390182026186323.8,7.6834e-07,-68.9869872,,,105.10573816536582
390184057495679.0,7.68336e-07,-67.4880179,,,105.10777509047617
390186088826184.56,7.68332e-07,-67.9331976,,,105.10981203679536
390188120177840.7,7.68328e-07,-72.4031055,,,105.11184900432359
390190151550647.9,7.68324e-07,-75.0,,,105.11388599306136
390192182944606.4,7.6832e-07,-75.0,,,105.1159230030089
390194214359716.56,7.68316e-07,-75.0,,,105.11796003416663
390196245795978.7,7.68312e-07,-75.0,,,105.11999708653475
390198277253393.2,7.68308e-07,-75.0,,,105.12203416011374
390200308731960.25,7.68304e-07,-75.0,,,105.12407125490377
390202340231680.3,7.683e-07,-75.0,,,105.12610837090527
390204371752553.7,7.68296e-07,-75.0,,,105.12814550811856
390206403294580.7,7.68292e-07,-75.0,,,105.13018266654396
390208434857761.7,7.68288e-07,-75.0,,,105.13221984618185
390210466442096.94,7.68284e-07,-75.0,,,105.13425704703246
390212498047586.8,7.6828e-07,-75.0,,,105.1362942690962
390214529674231.7,7.68276e-07,-75.0,,,105.13833151237341
390216561322031.8,7.68272e-07,-75.0,,,105.14036877686436
390218592990987.5,7.68268e-07,-75.0,,,105.14240606256935
390220624681099.2,7.68264e-07,-75.0,,,105.14444336948884
390222656392367.2,7.6826e-07,-75.0,,,105.14648069762313
